# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri Nov 06 14:30:33 AEST 2020 [seed=1604636984853]
# -window -working -options
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	tmrca(KanyaraMantharta)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(Wati)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	bcov.alpha	bcov.s	frequencies1	frequencies2	hfrequencies1	hfrequencies2	WPN_cognates_2020-10-12.ucld.mean	WPN_cognates_2020-10-12.ucld.stdev	WPN_cognates_2020-10-12.meanRate	WPN_cognates_2020-10-12.coefficientOfVariation	WPN_cognates_2020-10-12.covariance	WPN_cognates_2020-10-12.treeLikelihood	WPN_cognates_2020-10-12.branchRates	speciation
210000	-21498.08787156975	-628.6471527490571	-20869.440718820693	6885.089436825974	91928.5066451855	1582.3367171415575	2057.843645493937	2180.879018254069	2192.9290586716575	2786.4843531002093	2022.5525125768872	2899.8664124410393	3028.875657594254	5.9975615800683E-4	0.0	0.537	0.3119786060182851	0.11041170368981756	0.9052334766473185	0.09476652335268056	0.5	0.5	9.125198013229211E-5	6.697145271455774E-4	6.948989954329311E-5	1.963951700622115	-0.1515300531440335	-11171.956724614349	-383.0738674778016	-369.6073044127087
220000	-21489.622515520557	-631.3882871862576	-20858.2342283343	6996.5507653926525	99255.7276205267	1887.1234395171891	2388.442436708914	2300.0048265930254	2346.3971216397968	3051.210581735541	2249.7045633836206	3079.299723121309	3040.741399080447	5.525990171770828E-4	0.0	0.537	0.3324617226901862	0.09024500131556522	0.9004883176718673	0.0995116823281317	0.5	0.5	8.603610128449491E-5	6.404739689541901E-4	6.574345066732209E-5	2.031592322437923	-0.1552405929039785	-11166.440827492062	-383.0738674778016	-372.68541623088896
230000	-21510.19019768116	-633.2212473611124	-20876.96895032005	6940.408764940307	99047.91106150836	1831.9744258586236	2382.528955501922	2313.7491172589266	2322.5058957670676	3080.781422256442	2340.5898312757026	3087.8961181726454	3015.31360921012	5.993748327597656E-4	0.0	0.537	0.23507257004850335	0.14703649331572421	0.9002185765553391	0.0997814234446599	0.5	0.5	9.93290826819535E-5	9.177150417556295E-4	7.11610711743979E-5	1.9869388467328242	-0.10450295945733118	-11171.212676920231	-383.0738674778016	-372.24853482209403
240000	-21517.511262211687	-633.3171279927634	-20884.194134218924	6993.202901355323	103474.69283344572	1995.4202203058553	2388.3786784348736	2221.312240311735	2498.792414527037	3167.108324152878	2283.554417320751	3309.4558061641	3016.502669916394	6.409616947680312E-4	0.0	0.537	0.21806918190714755	0.13110525470312298	0.9033430962291107	0.09665690377088833	0.5	0.5	9.905917955776337E-5	0.0011280357120321883	6.761939896158967E-5	2.122057478317363	-0.14993286424605068	-11179.056668800167	-383.0738674778016	-373.94442173682665
250000	-21496.673298204292	-635.9825092036579	-20860.690789000633	6898.197799868798	102739.33046297594	2030.98258152964	2446.6485284389173	2292.7135586977283	2370.2344806526885	3039.057948305489	2267.8749169775288	3443.963484087675	3015.9119899620573	7.327035350289178E-4	0.0	0.537	0.22065738196228477	0.20356662690875033	0.901505007195092	0.09849499280490707	0.5	0.5	9.770517043221772E-5	9.861703640534425E-4	6.582659272687324E-5	1.9997035513469137	-0.042415581974452395	-11164.971248010512	-383.0738674778016	-374.8989920433791
260000	-21489.043092929587	-634.7011742980715	-20854.341918631515	6854.39212462099	104055.32937137478	2104.348423784304	2512.353460938688	2252.1876218637867	2365.062538329322	3019.092485362236	2176.422508170012	3385.0953330219495	3046.5534041262813	7.437281778149735E-4	0.0	0.537	0.2984732828737938	0.12372057442606081	0.9049192123615573	0.0950807876384418	0.5	0.5	9.555014582001918E-5	0.0010334958544215775	6.051400791454952E-5	2.116569176225492	-0.038537247092883246	-11166.959430696446	-383.0738674778016	-375.65553940375116
270000	-21501.517144592228	-637.3383448099784	-20864.17879978225	6932.960861439005	104878.23593454424	1978.9271591749123	2506.3083251909347	2380.7880625686803	2412.4175205203333	3078.4413526799767	2242.102051955577	3611.0541702141522	3099.142232407622	4.956158203983885E-4	0.0	0.537	0.300218957436234	0.1535028637355017	0.9024351412374231	0.09756485876257592	0.5	0.5	9.847766886406315E-5	9.419613299136446E-4	6.133483587126213E-5	2.074137415295254	-0.14056014745438522	-11163.742721128203	-383.0738674778016	-375.19184998361817
280000	-21487.05403755849	-636.6651839593619	-20850.38885359913	6899.22387379206	103901.91821944034	1934.628998124508	2363.957188260721	2332.0877059545624	2416.642589523731	2967.7671389538996	2210.4846686295823	3492.4533234347196	3028.4872146077964	6.651686346004519E-4	0.0	0.537	0.2787207155650023	0.1279347947454963	0.9046907678377677	0.09530923216223132	0.5	0.5	9.573250784572471E-5	8.467434592416403E-4	6.425891404412432E-5	1.986382289826672	-0.12674349294261672	-11162.440501215877	-383.0738674778016	-374.53745565853586
290000	-21478.785279828884	-632.004314301314	-20846.78096552757	6825.3462400903645	103110.89030723214	1855.9338579894247	2343.510438230075	2360.640659421703	2422.947524505941	3007.142338657026	2270.407179722139	3423.1744435999326	3040.4162583331727	5.703526890911626E-4	0.0	0.537	0.24648007868792757	0.12577441445947624	0.9011883601794503	0.09881163982054873	0.5	0.5	9.763394636654906E-5	8.007455543343733E-4	6.611666610684922E-5	2.0071966742997533	-0.11979503062561943	-11163.501539879453	-383.0738674778016	-373.5529588006941
300000	-21492.154845555026	-636.2179412077815	-20855.936904347243	6946.14461339066	102371.1735525072	1908.1380307924894	2453.173435534594	2496.4701320214226	2410.6435194268197	2899.956524804104	2269.029037111716	3353.2045496094665	3018.6928269828054	5.245710267999884E-4	0.0	0.537	0.17314679780968156	0.1435748493303136	0.9011306417270045	0.09886935827299428	0.5	0.5	9.72854668446987E-5	7.917955521908511E-4	6.665442353629122E-5	2.0371986433206764	-0.13774895524708622	-11156.339839494502	-383.0738674778016	-373.95739607662176
310000	-21501.204697708876	-636.1690264192675	-20865.03567128961	6869.984345738083	101790.23270808227	2096.1117901804855	2549.7751956675256	2393.277913000459	2456.398571188537	2980.85864763687	2210.564111364856	3318.3442349407414	3037.56721204397	5.93697672911538E-4	0.0	0.537	0.22682085849185335	0.146812938614221	0.9000928070825734	0.09990719291742539	0.5	0.5	9.131899608266601E-5	6.797233099061232E-4	6.468313912197981E-5	1.963835706831094	-0.12839987694963786	-11162.676223456538	-383.0738674778016	-373.1308293221971
