# BEAST v1.10.5 Prerelease #23570d1
# Generated Mon May 13 20:44:44 BST 2019 [seed=666]
# -overwrite -seed 666 testConstantPopulationSizeModel.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.logPopSize	N0	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
20000	-3920.3055511423045	-72.0493284561306	-3848.2562226861737	64.81878023748385	1929.181219762516	235.44679261113106	3.374758153899902	29.2172168567628	16.0013585219051	0.30161733340737296	0.2044330179357488	0.24377308898193645	0.2501765596749415	9.263776511413006E-4	9.263776511413003E-4	-3848.2562226861737	0.0	-67.73971758692767
21000	-3923.037146174512	-74.82591461736035	-3848.2112315571517	65.43931444835502	1928.560685551645	254.73048028357536	3.3878414222161606	29.60198506878941	20.120659878275468	0.2818537556046951	0.21016160315590388	0.24221772487363677	0.2657669163657638	8.113696964791386E-4	8.113696964791386E-4	-3848.2112315571517	0.0	-70.08338512295138
22000	-3922.862329970948	-74.2877919565533	-3848.5745380143944	72.88533323665088	1921.114666763349	272.0648819556625	3.1194014775792613	22.63282933269722	13.702203045706728	0.2817945703074514	0.22240585780878597	0.25183904862043743	0.24396052326332465	8.043478538718649E-4	8.04347853871865E-4	-3848.5745380143944	0.0	-71.27292467690374
23000	-3920.3200714974214	-74.62394001475144	-3845.69613148267	69.97213586404803	1924.0278641359519	265.1660953052127	3.4180590233897896	30.510138047725867	14.325174902659002	0.2906986362649731	0.21022618139633137	0.25116863304076076	0.24790654929793426	7.856383557644963E-4	7.856383557644964E-4	-3845.69613148267	0.0	-70.55115451539103
24000	-3929.3658258950486	-78.15000807330202	-3851.2158178217464	69.47273641857045	1924.5272635814295	270.5922124733936	3.820601142782025	45.631631203218845	14.932427832868854	0.2664450526857414	0.20647746498859865	0.2798757036623902	0.2472017786632692	7.920910283916983E-4	7.920910283916985E-4	-3851.2158178217464	0.0	-72.53408983579824
25000	-3926.6593029301666	-75.28901901731133	-3851.3702839128555	67.69964415074303	1926.300355849257	259.48994197572443	2.901539856635555	18.20215250573896	20.857426595693095	0.2537712638973985	0.21182439715364318	0.28105139455063327	0.25335294439832456	8.331498209646766E-4	8.331498209646763E-4	-3851.3702839128555	0.0	-71.97980563588501
26000	-3931.667891753439	-76.17680332295845	-3855.491088430481	71.066956515429	1922.933043484571	275.20145545634085	3.281951967233935	26.627698399545626	14.557680748309355	0.2611522873437848	0.20792031598430105	0.27299917537954704	0.2579282212923666	7.177735783022489E-4	7.177735783022491E-4	-3855.491088430481	0.0	-72.60120528907676
27000	-3929.130395637001	-75.6948887902486	-3853.4355068467526	66.8586010851419	1927.1413989148582	263.90328584388124	3.090609176692183	21.99046997806223	19.660571430764893	0.26450087951878415	0.22587912105742394	0.2399203429056888	0.2696996565181025	8.695914066424602E-4	8.695914066424599E-4	-3853.4355068467526	0.0	-71.92798807750934
28000	-3928.641252508978	-77.68200742836528	-3850.959245080613	69.04163674751128	1924.9583632524887	283.9139408625391	3.543674837204178	34.59381252117717	16.80137953763061	0.26534659508686137	0.2275654181508904	0.2628904954362403	0.24419749132600738	8.32516452127922E-4	8.325164521279222E-4	-3850.959245080613	0.0	-72.8119355525674
29000	-3924.185571677028	-78.54325302154643	-3845.642318655481	66.726266564626	1927.273733435374	279.2683266640881	3.1268174660004098	22.801298041860772	17.78901439975828	0.2850669002629316	0.20280114095381604	0.27093109672557725	0.24120086205767458	7.817234435659338E-4	7.817234435659341E-4	-3845.642318655481	0.0	-74.98003137783836
30000	-3927.1081568960526	-74.2689353021114	-3852.839221593941	63.68741395540159	1930.3125860445984	250.76120024937035	3.461726467457555	31.871954934788526	16.668834736338088	0.28164489878752436	0.2101663872039561	0.26463833520608826	0.2435503788024307	7.91810696251331E-4	7.918106962513309E-4	-3852.839221593941	0.0	-69.70382493777744
31000	-3925.9638672639694	-74.37421664454332	-3851.5896506194263	63.25968209268803	1930.740317907312	243.89355167541146	3.440310894923609	31.19665554264092	20.406371143804623	0.27044736157422955	0.1915705304419554	0.26416456491810686	0.2738175430657076	9.619203215845506E-4	9.619203215845508E-4	-3851.5896506194263	0.0	-69.28555836996335
32000	-3922.3301935318486	-72.89806846246401	-3849.4321250693847	59.04374746017965	1934.9562525398203	218.6781932249128	3.519501199942561	33.76758099110074	19.355989934015398	0.27891988232478504	0.21927848601565153	0.25829038594437626	0.2435112457151866	0.0010285599631367844	0.0010285599631367844	-3849.4321250693847	0.0	-67.5755903367845
33000	-3922.503409431785	-70.14957615434993	-3852.3538332774347	54.90537366771877	1939.0946263322812	212.59499997620546	2.936462593696163	18.849051488135252	13.724436613305535	0.2767814567687258	0.21391754583085892	0.2587529283994298	0.2505480690009849	9.447718557319705E-4	9.447718557319703E-4	-3852.3538332774347	0.0	-67.49953418184766
